ZipCode,Latitude,Longitude
00501,40.81308,-73.04639
00544,40.81322,-73.04929
00601,18.16595,-66.72363
00602,18.38301,-67.18655
00603,18.43324,-67.15195
00604,18.50529,-67.1359
00605,18.43615,-67.15134
00606,18.18562,-66.97738
00610,18.28595,-67.14416
00611,18.28772,-66.79758
00612,18.47133,-66.72815
00613,18.47274,-66.71928
00614,18.4569,-66.73589
00616,18.42646,-66.67378
00617,18.45879,-66.53723
00622,18.01798,-67.17062
00623,18.08672,-67.15178
00624,18.06348,-66.72361
00627,18.48587,-66.84406
00631,18.18027,-66.83292
00636,18.16213,-67.07793
00637,18.08167,-66.96803
00638,18.33877,-66.46642
00641,18.26889,-66.70442
00646,18.46656,-66.27052
00647,17.96731,-66.93993
00650,18.36264,-66.56539
00652,18.46625,-66.56937
00653,17.97401,-66.9087
00656,18.02597,-66.78759
00659,18.48545,-66.82488
00660,18.14086,-67.12815
00662,18.50123,-67.02279
00664,18.21983,-66.59135
00667,18.04517,-67.05785
00669,18.29435,-66.88439
00670,18.29638,-67.14661
00674,18.43056,-66.48471
00676,18.3994,-67.11328
00677,18.34332,-67.25591
00678,18.47493,-66.93729
00680,18.20379,-67.14526
00681,18.20431,-67.14469
00682,18.20383,-67.14352
00683,18.08405,-67.04628
00685,18.34155,-66.99628
00687,18.3291,-66.40424
00688,18.43021,-66.61262
00690,18.49538,-67.09769
00692,18.41369,-66.31897
00693,18.44194,-66.39886
00694,18.44462,-66.40256
00698,18.03526,-66.86332
00703,18.26164,-66.10386
00704,18.25115,-66.10144
00705,18.14212,-66.26762
00707,18.01034,-65.89687
00714,17.97013,-66.06416
00715,18.01488,-66.58646
00716,18.01462,-66.61475
00717,18.01329,-66.61449
00718,18.21492,-65.7324
00719,18.30157,-66.24427
00720,18.22911,-66.39152
00721,18.3718,-65.77451
00723,18.01067,-66.01522
00725,18.23623,-66.04134
00726,18.23305,-66.03604
00727,18.23399,-66.03645
00728,18.01307,-66.61401
00729,18.37988,-65.90897
00730,18.01369,-66.61342
00731,18.01407,-66.61717
00732,18.03611,-66.61143
00733,18.02075,-66.62013
00734,17.98672,-66.60898
00735,18.26055,-65.64033
00736,18.11828,-66.16103
00737,18.11542,-66.16103
00738,18.33226,-65.65926
00739,18.1774,-66.15606
00740,18.33328,-65.633
00741,18.16869,-65.74722
00742,18.23894,-65.62743
00744,18.21773,-65.79561
00745,18.38338,-65.83806
00751,17.98878,-66.28754
00754,18.18852,-65.95889
00757,17.96823,-66.40266
00765,18.13089,-65.45344
00766,18.12958,-66.49047
00767,18.05152,-65.88088
00769,18.08211,-66.35995
00771,18.1821,-65.86916
00772,18.43394,-65.8808
00773,18.37572,-65.72058
00775,18.31153,-65.30555
00777,18.22908,-65.91843
00778,18.25711,-65.97574
00780,18.04675,-66.55022
00782,18.22193,-66.22722
00783,18.34258,-66.3111
00784,17.97983,-66.11145
00785,17.9789,-66.11023
00786,18.15821,-66.236
00791,18.1545,-65.82076
00792,18.1513,-65.82193
00794,18.1876,-66.30741
00795,18.0539,-66.50529
00801,18.34982,-64.94322
00802,18.34877,-64.93541
00803,18.35033,-64.93557
00804,18.349,-64.93212
00805,18.35048,-64.93512
00820,17.74594,-64.70728
00821,17.74607,-64.70655
00822,17.74481,-64.70975
00823,17.74423,-64.70827
00824,17.74518,-64.70427
00830,18.33515,-64.79071
00831,18.33347,-64.79295
00840,17.71245,-64.88282
00841,17.71509,-64.88339
00850,17.73076,-64.79814
00851,17.73354,-64.79887
00901,18.46386,-66.10981
00902,18.44628,-66.09828
00906,18.4055,-66.06266
00907,18.45432,-66.07662
00908,18.44416,-66.07947
00909,18.44726,-66.06792
00910,18.44297,-66.07152
00911,18.45142,-66.06158
00912,18.44658,-66.06107
00913,18.451,-66.04507
00914,18.44829,-66.01671
00915,18.43802,-66.04736
00916,18.37652,-66.16272
00917,18.42056,-66.05387
00918,18.41738,-66.06122
00919,18.411,-66.06491
00920,18.41021,-66.08773
00921,18.39172,-66.09059
00922,18.40998,-66.09255
00923,18.4124,-66.03911
00924,18.40443,-66.01246
00925,18.39887,-66.05033
00926,18.37925,-66.06022
00927,18.38881,-66.0733
00928,18.39318,-66.06174
00929,18.40199,-66.02323
00930,18.40533,-66.06238
00931,18.40983,-66.06296
00933,18.4702,-66.10791
00934,18.41316,-66.13164
00935,18.41048,-66.06561
00936,18.38521,-66.06312
00937,18.41086,-66.06384
